Jurisdiction,Year,Category,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80-84,85+,Total
Washington County,2015,Total Non_Hispanic Other,444,1001,995,752,459,365,389,364,385,346,341,277,216,125,91,60,14,18,6642
Queen Anne's County,2025,Total Non-Hispanic White,2220,2363,2406,2396,1886,1910,2283,3012,2790,2327,2782,3624,4053,3592,2671,2310,1437,1186,45248
Frederick County,2010,Total,14862,16303,17234,16756,13237,13617,13815,16065,18794,20839,18496,15086,12367,8373,5687,4462,3635,3757,233385
Harford County,2035,Non-Hisp Black Female,1723,1748,1854,1692,1311,1493,1774,1907,1942,1645,1459,1428,1528,1398,1264,777,463,318,25724
Somerset County,2040,Non-Hisp White Female,222,227,239,244,265,236,222,305,282,371,441,486,521,500,432,446,373,368,6180
Charles County,2015,Non-Hisp White Male,1750,1629,1920,2102,2101,1961,1962,1711,1871,2600,3216,3035,2410,1967,1493,867,537,353,33485
Howard County,2045,Total Male,9937,10585,11650,12025,10624,11397,11211,10792,11535,12377,12742,10900,10200,8667,7513,7098,6196,6594,182043
Caroline County,2020,Non-Hisp White Male,680,749,957,777,549,511,766,817,744,767,935,1059,964,781,571,368,226,172,12393
State of Maryland,2010,Total Non_Hispanic Other,43525,40860,36562,34622,32448,35367,36499,37139,33815,32413,29019,23479,19289,13372,9647,6132,3721,2824,470733
Talbot County,2010,Non-Hisp Other Female,78,74,73,45,24,39,30,25,49,40,31,18,16,8,8,2,4,2,566
Anne Arundel County,2035,Total Non-Hispanic Black,8247,8502,8638,7996,7551,8073,8928,8869,9582,9089,8984,7357,6526,6389,5256,3749,2112,1759,127607
Caroline County,2035,Total Non-Hispanic White,1790,1794,1770,1550,1338,1635,1794,1713,1689,1982,1883,1764,1725,1884,1807,1439,914,795,29266
Harford County,2030,Total Non-Hispanic White,10285,10234,9749,8917,8561,10143,12275,12900,12230,11553,9870,10519,12495,14273,12808,9424,7423,8742,192401
Queen Anne's County,2045,Hispanic Female,175,160,150,126,109,101,108,106,79,81,50,67,39,23,19,16,14,3,1426
Harford County,2035,Non-Hisp Other Female,1069,967,942,819,691,972,992,969,799,674,727,596,590,482,437,356,214,80,12376
Charles County,2020,Non-Hisp White Female,1519,1446,1489,1580,1648,1842,1729,1737,1571,1888,2539,3027,2732,2224,1879,1405,778,866,31899
Caroline County,2010,Non-Hisp Other Male,70,76,49,42,22,18,19,15,25,15,22,24,13,10,3,5,1,1,430
Montgomery County,2020,Non-Hisp White Male,11021,10716,11332,9502,7433,12306,14830,14531,11714,12282,14384,17096,17237,14515,11694,7919,4781,5198,208491
Charles County,2015,Total Non-Hispanic Black,4524,4877,5776,6231,4422,3916,3937,4392,5799,6630,5930,4060,2803,2040,1268,882,386,435,68308
Cecil County,2040,Non-Hisp Black Male,419,438,575,597,479,517,509,585,681,629,510,436,404,306,251,126,76,42,7580
Baltimore City,2010,Hispanic Male,1514,986,640,912,1746,2183,1853,1354,1013,748,479,341,247,135,101,55,36,43,14386
Somerset County,2030,Hispanic Male,73,72,65,76,66,32,17,27,39,26,27,11,5,3,1,0,1,1,542
Allegany County,2010,Non-Hisp Other Male,115,119,90,109,105,49,43,51,29,29,37,25,38,25,16,8,3,6,897
Worcester County,2015,Non-Hisp Other Female,115,100,120,96,29,31,43,47,49,49,60,52,42,31,25,10,6,8,913
Montgomery County,2025,Total Non_Hispanic Other,14227,13782,15012,15313,13264,14701,13831,14025,15006,15855,15983,14808,14071,11799,9234,7022,4391,5982,228306
Howard County,2035,Non-Hisp Other Female,3180,3320,3518,3626,3713,3532,3712,3665,3477,3433,3750,3554,3261,2796,2382,1756,1202,1390,55267
Worcester County,2015,Total Non_Hispanic Other,158,224,210,177,93,71,81,96,86,85,113,96,81,53,40,23,10,16,1713
State of Maryland,2015,Non-Hisp Black Female,56030,57676,60407,62535,66498,68549,65241,62274,64105,69193,73780,65878,54367,42432,27764,18989,12801,14731,943250
Caroline County,2040,Hispanic Male,345,281,244,186,124,113,133,83,64,59,65,72,26,26,13,5,1,1,1841
Prince George's County,2030,Non-Hisp Other Female,2176,1838,1648,2775,3229,3035,2578,2721,2575,2441,2596,2342,2010,1642,1384,1167,678,481,37316
Montgomery County,2030,Total Male,37051,35405,35547,33748,28531,32738,32491,37145,38481,37010,33145,31407,29760,27920,23736,17944,12424,12808,537291
Calvert County,2030,Non-Hisp Black Male,326,333,344,312,331,244,337,370,424,407,414,395,505,515,390,280,170,98,6195
Howard County,2035,Non-Hisp Black Male,3018,3459,3903,3835,2571,2484,2678,2731,2886,2537,2565,2129,2002,1790,1195,857,494,537,41671
Caroline County,2040,Non-Hisp White Male,936,970,1078,917,691,731,862,861,762,693,1009,962,813,817,749,667,420,358,14296
Carroll County,2010,Non-Hisp Black Male,124,173,201,236,211,192,187,226,302,271,230,178,148,87,58,37,17,13,2891
Prince George's County,2010,Hispanic Female,7028,5560,4479,4323,5487,6531,6449,5044,4018,3180,2213,1608,1088,641,430,329,182,135,58725
Queen Anne's County,2025,Total Non_Hispanic Other,131,113,127,216,175,127,106,86,66,89,117,114,109,82,66,45,19,0,1788
Baltimore County,2035,Non-Hisp White Male,8488,8373,8798,10701,10639,9515,9795,10316,10952,11770,11433,10695,10170,11271,12031,10911,7673,8000,181531
Montgomery County,2025,Non-Hisp White Female,9981,10017,10167,7381,5746,9065,12427,15090,13378,11334,11815,14310,15531,14940,13985,12044,8217,9894,205322
Prince George's County,2035,Non-Hisp Black Female,16509,16560,16300,17006,17277,19460,18214,20033,21743,20508,17541,17065,18463,19673,19122,16643,13392,20856,326365
Talbot County,2045,Total Hispanic,358,350,335,299,254,221,249,249,222,159,145,199,248,153,100,57,21,26,3645
Prince George's County,2045,Non-Hisp White Male,2150,1648,1611,3734,5992,4208,3395,2734,2521,2872,3829,3307,2219,1640,1400,1427,1468,1931,48086
Queen Anne's County,2020,Hispanic Male,102,99,95,79,60,70,93,105,74,68,52,44,26,14,5,4,3,3,996
Cecil County,2015,Non-Hisp Black Male,260,246,306,339,266,232,205,212,224,283,311,266,152,99,65,33,28,29,3556
Worcester County,2010,Total Female,1120,1225,1332,1355,1211,1194,1165,1287,1616,2007,2103,2060,2186,2021,1565,1256,875,832,26410
Caroline County,2035,Total Non-Hispanic Black,416,401,446,377,356,359,326,257,327,389,410,384,352,426,475,353,214,145,6413
Howard County,2020,Total Non-Hispanic White,7786,7729,7978,8973,8425,11682,9768,9252,8147,9130,11947,15239,13978,11820,9432,6529,3725,3674,165214
Baltimore City,2020,Total Non-Hispanic White,9784,5417,4076,6619,12269,25066,23902,16359,11245,8809,8615,9119,9207,8066,6632,4446,2584,3084,175299
Kent County,2015,Non-Hisp Black Male,66,71,67,85,100,79,82,63,91,77,125,98,82,80,64,40,41,26,1337
Carroll County,2035,Total Female,4484,5017,4844,4544,3839,3809,4977,5591,5566,5256,4747,4108,5023,6566,7067,6151,4824,6173,92586
Worcester County,2045,Total Male,1427,1561,1832,1723,1601,1428,1428,1546,1645,1638,1743,2010,2226,1894,1868,1790,1423,1352,30135
Kent County,2020,Hispanic Male,37,34,57,43,45,36,75,84,50,31,31,17,11,2,0,1,1,0,555
Washington County,2020,Non-Hisp Other Male,311,281,625,558,307,232,181,196,161,201,170,195,153,81,54,29,14,1,3750
Somerset County,2010,Total Non-Hisp Other,85,86,58,71,110,23,34,25,39,32,51,33,26,24,13,12,5,2,729
State of Maryland,2040,Non-Hisp Other Male,29375,28499,27642,28513,25006,24058,28517,27392,24602,22713,21655,20840,20195,18549,14851,11565,7916,10304,392192
Carroll County,2040,Total,9187,10419,10442,10243,8714,7431,9034,10699,10996,11017,10313,9270,7641,9281,11280,12245,10126,13457,181795
Caroline County,2025,Non-Hisp Black Male,157,160,158,173,158,104,87,130,138,157,145,169,158,216,150,84,40,21,2405
Queen Anne's County,2015,Total Non_Hispanic Other,108,236,216,133,97,72,56,71,95,103,101,77,65,51,33,16,7,1,1538
Charles County,2020,Non-Hisp Black Female,2623,2719,3046,3123,2534,2854,2694,2733,2898,3739,3997,3474,2285,1671,1139,772,356,425,43082
Garrett County,2020,Non-Hisp Other Male,10,13,36,34,25,35,19,11,5,14,4,8,9,8,4,2,3,5,245
Cecil County,2015,Hispanic Female,188,249,182,174,168,133,142,129,132,108,84,65,52,33,13,13,6,8,1879
Kent County,2020,Total Male,393,457,488,698,626,485,547,545,488,515,645,794,805,795,646,565,276,238,10006
Baltimore City,2030,Total Non-Hispanic Black,24236,23334,23496,25205,27299,23593,22685,26522,27613,26000,21962,19318,19760,21043,18624,13261,8288,7087,379326
Baltimore City,2045,Hispanic Female,961,799,737,1015,918,928,970,683,524,311,556,1261,1584,1191,682,296,83,14,13513
Caroline County,2010,Total Female,1145,1171,1104,1112,975,988,1017,1015,1187,1312,1319,1126,993,748,505,468,351,407,16943
Queen Anne's County,2020,Total Non-Hispanic Black,152,145,217,198,176,192,189,195,255,207,217,284,330,294,185,139,80,87,3542
Baltimore County,2010,Non-Hisp Other Female,2949,2629,2328,2231,2394,2629,2674,2739,2075,1819,1699,1377,1220,753,555,322,205,150,30748
Anne Arundel County,2015,Total Non-Hispanic Black,6435,6564,6539,6155,6445,6738,7710,6757,6653,6819,6873,5929,4299,3153,1852,1311,849,815,91896
Anne Arundel County,2020,Total Non_Hispanic Other,2956,2952,4473,4127,3623,3017,2869,3132,3017,2773,2317,2292,2017,1495,1138,701,418,165,43482
Dorchester Co,2040,Non-Hisp Other Male,71,71,71,62,37,43,72,51,41,32,28,26,26,22,21,18,5,1,698
Montgomery County,2020,Non-Hisp Black Female,6659,6321,6584,7519,6036,7677,9529,8811,7745,7489,7557,7392,5971,4438,3443,2169,1371,1758,108469
Prince George's County,2040,Total Female,28011,26600,26573,31374,31333,33011,29899,29105,30039,33107,32453,28955,27515,25111,23988,23309,18725,33256,512364
Talbot County,2025,Hispanic Female,171,163,181,147,114,78,74,92,114,108,75,60,43,34,19,13,3,2,1491
Allegany County,2020,Total Male,3173,1764,1582,2472,2248,1765,2450,1850,1979,1682,2068,2166,2589,2585,2189,1909,1280,1329,37080
Allegany County,2035,Total Hispanic,91,62,54,146,147,135,159,119,160,134,107,79,63,28,26,18,12,17,1557
Somerset County,2045,Hispanic Female,81,78,62,106,90,41,33,43,38,24,29,23,9,4,1,0,0,1,663
Washington County,2045,Non-Hisp White Male,3982,4048,4143,4160,4140,4153,3723,4204,4327,3759,3388,3574,3488,3179,2994,2965,2469,2799,65495
Carroll County,2030,Total Non-Hispanic White,7216,8117,7775,7301,6861,6813,8107,9089,8768,8017,6897,8439,11116,12771,10684,8535,6931,7196,150633
Allegany County,2010,Total Female,1662,1748,1852,2890,2878,1898,1684,1945,2074,2496,2566,2416,2398,1960,1683,1461,1309,1325,36245
Howard County,2030,Total Female,10680,11299,11845,10626,8592,10496,12453,13722,12636,12462,11145,10689,10945,11458,9780,8022,6096,5094,188040
Talbot County,2035,Non-Hisp Other Male,59,53,49,40,27,88,73,53,54,37,40,26,16,19,13,13,14,18,692
Harford County,2025,Total Non_Hispanic Other,1595,1404,1424,1970,1462,1278,1169,1127,1189,1069,1078,933,909,730,489,297,204,73,18400
Queen Anne's County,2045,Non-Hisp Black Female,127,134,156,144,126,115,112,121,235,167,206,222,227,173,126,142,138,191,2862
Dorchester Co,2035,Non-Hisp Black Male,386,353,352,394,299,319,280,332,402,401,419,384,340,266,236,174,113,68,5518
Carroll County,2015,Non-Hisp Black Female,145,122,180,201,194,141,137,144,221,217,204,243,135,156,109,76,27,39,2691
Kent County,2045,Non-Hisp Other Male,21,26,40,61,44,11,10,19,18,14,13,11,14,16,8,2,1,0,329
St. Mary's County,2040,Hispanic Female,511,492,453,417,390,413,462,368,285,249,239,231,165,136,138,139,55,10,5153
Charles County,2045,Total,14605,15280,16350,16744,12926,12727,12864,13759,14588,15615,15179,12743,11127,10061,10686,10862,7430,6192,229738
Talbot County,2045,Hispanic Male,178,172,165,146,130,117,128,143,127,94,86,126,156,57,39,22,18,24,1928
Somerset County,2045,Non-Hisp White Male,246,227,258,282,335,336,334,340,451,452,467,486,531,454,390,308,297,272,6466
Allegany County,2015,Non-Hisp Black Male,43,45,62,285,715,781,766,560,423,319,292,153,120,21,22,14,5,3,4629
Calvert County,2045,Total Female,2426,2840,3154,3006,2397,2258,2571,2893,3390,3679,3654,3341,2685,2122,2294,2925,2896,3533,52064
Montgomery County,2010,Total Non-Hispanic Black,11661,11552,12048,12054,10597,12123,12175,12686,13197,13051,11786,8868,6792,4470,3263,2262,1539,1565,161689
Calvert County,2040,Non-Hisp Other Female,183,212,234,208,97,98,205,261,227,200,185,156,144,110,119,111,71,5,2826
Washington County,2030,Total Female,5836,5464,5054,4573,5400,5518,4952,5034,5077,5168,4827,5244,5771,5940,4773,3882,2724,2996,88233
Charles County,2010,Non-Hisp Other Female,537,556,569,415,294,367,411,429,437,406,359,282,196,111,77,77,36,17,5576
State of Maryland,2030,Non-Hisp Other Female,25358,24103,22734,25616,28969,29285,28133,25049,24574,26224,25756,24427,21173,18434,15188,11173,7602,5709,389507
Harford County,2015,Total Non-Hispanic Black,2270,2513,2821,2858,2251,2089,2060,2137,2450,2598,2511,2194,1526,1080,662,316,289,241,32866
State of Maryland,2025,Total Female,187980,180464,185613,196354,192565,204080,218582,223505,211188,193722,195779,210655,222384,198664,161061,126949,81208,90549,3281302
Allegany County,2025,Hispanic Female,42,23,29,75,57,30,40,38,30,26,37,10,7,7,11,10,6,9,487
Somerset County,2045,Total Non_Hispanic Other,107,130,113,115,188,64,60,88,87,70,77,64,31,39,16,16,11,16,1292
Allegany County,2025,Hispanic Male,23,17,22,89,106,81,98,87,113,96,72,38,23,14,10,10,2,3,904
State of Maryland,2045,Non-Hisp Other Female,27039,28066,28275,30558,27675,25921,26176,32166,32280,30804,26842,25866,26813,24546,22186,17589,13465,12948,459215
Talbot County,2025,Non-Hisp White Female,515,612,613,583,524,565,671,809,897,761,889,1086,1473,1652,1472,1282,925,945,16274
Montgomery County,2035,Non-Hisp White Female,7697,8696,9517,8285,6656,8014,8129,9481,11938,13982,12344,10307,10222,11561,12458,12073,10568,12889,184817
Charles County,2035,Total Non-Hispanic White,2324,2440,2477,2529,2568,2399,2552,2889,3075,2947,3030,2742,3069,3879,4363,3523,2413,2300,51519
Worcester County,2010,Total,2324,2516,2724,2808,2499,2389,2289,2530,3216,3975,4024,4001,4198,3750,3024,2304,1594,1289,51454
Harford County,2035,Non-Hisp White Male,5198,5284,5255,5041,4452,4669,5595,6272,6294,5994,5625,4585,4755,5394,5919,4803,3399,3538,92072
Worcester County,2010,Non-Hisp Other Female,88,87,88,65,27,37,44,43,39,49,57,36,28,25,16,6,10,9,754
Queen Anne's County,2040,Total Hispanic,315,287,251,213,195,197,198,149,135,111,152,159,116,81,34,31,16,10,2650
Harford County,2040,Non-Hisp Black Female,1881,1921,2077,1965,1485,1517,1856,2022,2106,2022,1736,1491,1504,1426,1375,934,664,432,28414
Baltimore City,2020,Total,38475,33495,34489,37628,42028,56671,58011,49338,40560,34503,34937,38347,36123,28596,21364,13741,8502,9484,616292
Dorchester Co,2030,Total Hispanic,340,309,256,255,246,189,143,155,133,165,117,75,41,31,29,24,18,13,2539
State of Maryland,2025,Total Non_Hispanic Other,46976,43442,45031,58947,52425,48897,44739,43855,44988,44777,43906,38423,35440,28743,21579,15567,9313,8976,676024
Anne Arundel County,2010,Total Non-Hispanic Black,5810,5921,6111,6279,5758,6169,6083,6285,6766,6744,5776,4489,3306,2226,1564,1150,738,644,81819
Charles County,2040,Non-Hisp Other Male,914,937,1031,820,625,500,745,707,671,572,470,372,374,361,345,262,226,49,9981
Talbot County,2040,Total Male,1018,1113,1175,1077,880,863,1013,1072,988,985,1128,1161,1000,1220,1375,1453,1067,1134,19722
St. Mary's County,2025,Hispanic Male,350,324,397,360,309,262,285,285,314,266,198,151,126,47,31,14,8,2,3729
Cecil County,2035,Total Non-Hispanic Black,756,766,878,815,644,765,867,1077,1032,800,731,787,737,632,487,304,121,87,12286
Wicomico County,2030,Total,7552,6921,6554,8536,10468,8496,7367,7856,7376,6519,6377,5712,5859,6330,5775,4429,3018,3050,118195
Dorchester Co,2015,Total Non-Hispanic White,901,1011,1100,879,940,1068,1177,1060,1129,1381,1756,1844,1628,1507,1295,790,572,610,20648
Kent County,2045,Hispanic Male,32,34,39,53,64,60,69,104,64,33,41,32,31,1,0,0,0,0,657
Frederick County,2010,Non-Hisp Black Male,745,840,836,914,614,620,621,779,864,872,677,449,341,216,138,88,59,32,9705
Anne Arundel County,2040,Total,38751,37838,37533,37324,36709,38507,40240,39206,38735,39354,39970,38599,32490,30274,29679,27504,20143,19414,622270
Baltimore City,2035,Total Female,18204,16844,16513,19447,22252,24159,23228,20550,23826,25355,22403,17778,14824,14184,14847,12944,9043,8061,324462
Wicomico County,2045,Total Male,4057,4068,4324,5114,4978,3568,3147,3922,4101,3909,3813,3567,2905,2696,2053,1771,1384,1787,61164
Calvert County,2030,Non-Hisp White Male,2096,2286,2385,2085,1648,2060,2641,2771,2798,2350,1846,1811,2437,2813,2210,1553,1045,779,37614
Dorchester Co,2020,Total Non-Hispanic Black,604,568,814,670,545,507,595,578,627,606,605,743,766,565,320,229,153,251,9746
Baltimore City,2030,Hispanic Male,992,1090,1316,1981,1612,1110,642,1037,1863,2260,1840,1367,880,401,234,86,15,6,18732
Dorchester Co,2030,Non-Hisp Other Male,69,58,55,56,67,55,40,31,29,29,28,25,25,24,23,15,4,1,634
Baltimore County,2010,Total Hispanic,3877,3059,2518,2675,3345,3829,3522,2868,2181,1735,1306,907,672,406,283,235,170,147,33735
Wicomico County,2015,Total Non_Hispanic Other,399,671,641,719,474,404,321,357,348,319,339,282,215,166,103,45,24,13,5840
Garrett County,2035,Total Non_Hispanic Other,97,82,80,48,50,87,91,41,29,32,23,17,15,16,8,11,17,12,756
Worcester County,2020,Non-Hisp Other Female,114,128,133,129,39,32,36,45,52,60,59,54,60,46,31,16,10,6,1050
Cecil County,2040,Hispanic Female,347,336,312,314,251,268,365,276,264,256,177,176,170,164,81,68,32,17,3874
Prince George's County,2015,Total Female,29652,27424,27043,30871,35438,36162,32301,31285,31148,32914,34801,32286,27838,22259,14828,10014,6547,7565,470376
Baltimore County,2045,Hispanic Female,2728,2655,2578,2763,2576,2365,2488,2363,2174,1961,1970,2098,2043,1794,1448,762,380,189,35335
Talbot County,2040,Total Female,939,1079,1094,963,798,837,969,1137,1171,1271,1317,1367,1268,1569,1606,1705,1413,1769,22272
Frederick County,2030,Total Non-Hispanic White,12129,11780,10135,9198,9658,14667,15265,14323,11959,10787,9466,10877,13091,14922,12514,9856,7747,8507,206881
State of Maryland,2015,Non-Hisp White Male,77239,77670,86894,93907,97409,103217,96174,84728,87137,105683,126876,126173,109239,91292,63120,41293,28638,29364,1526053
Calvert County,2015,Hispanic Female,121,241,209,183,126,75,102,116,101,118,143,79,41,27,27,14,9,9,1741
State of Maryland,2030,Non-Hisp Black Male,66813,66046,67662,69413,65516,62903,62483,70985,67067,60623,53406,51662,51760,48320,37240,23916,15061,11482,952358
Baltimore County,2010,Non-Hisp White Male,11954,12384,13243,15780,16499,14848,13339,12896,15317,18736,20820,19028,16448,11338,8211,7174,6582,6088,240685
Worcester County,2015,Total Hispanic,146,180,159,110,111,181,172,156,135,128,83,49,38,31,28,19,13,13,1752
Somerset County,2030,Total Female,673,650,609,1220,1785,806,584,756,524,640,691,636,721,816,757,554,398,363,13183
Allegany County,2045,Total Hispanic,88,76,79,182,150,115,153,137,181,126,124,86,51,49,57,23,12,22,1711
Charles County,2010,Total Hispanic,723,628,535,587,546,552,524,494,434,420,295,203,111,77,49,43,23,15,6259
St. Mary's County,2010,Hispanic Female,235,226,201,145,158,179,180,125,113,117,103,49,37,24,25,16,10,5,1948
Baltimore City,2040,Non-Hisp Other Female,885,633,621,1485,1651,1120,1307,1155,1130,1187,1797,1825,1439,1106,774,550,385,190,19240
Dorchester Co,2030,Non-Hisp Other Female,67,42,25,22,73,69,59,59,58,57,44,46,32,31,38,6,6,2,736
Queen Anne's County,2030,Non-Hisp Other Male,76,49,36,35,104,94,73,66,45,32,30,45,53,40,33,25,6,0,842
Harford County,2045,Total Hispanic,1724,1800,1696,1559,1599,1551,1688,1712,1371,1230,1073,818,847,719,606,484,367,122,20966
Carroll County,2045,Hispanic Female,367,370,371,399,365,301,305,312,332,288,243,205,184,117,63,59,51,21,4353
Charles County,2035,Total Non-Hisp Black,7803,8526,9232,8893,6052,6223,7273,8645,8829,7442,6395,6136,7484,7832,6305,3910,1775,1527,120282
